Tahun,Jumlah Penduduk,Total Konsumsi (Ton),Sqrt(Jumlah Penduduk),Sqrt(Total Konsumsi)
2013,9969948,851433.5592,3157.522446,922.7315748
2014,10075310,890657.404,3174.162882,943.7464723
2015,10177924,847821.0692,3190.285881,920.7719963
2016,10277628,854070.8868,3205.873984,924.159557
2017,10374235,984722.3862,3220.905928,992.3317924
2018,10467629,992749.9344,3235.37154,996.3683728
2019,10557810,994440.1239,3249.278381,997.2161871
2020,10562088,983964.1181,3249.936615,991.949655
2021,10609681,994339.3033,3257.250528,997.165635
2022,10640007,,3266.818024,
2023,10672100,,3261.902359,
