bulan,tahun,Stok Avg(ton),Stok Avg(sqrt)
1,2015,62550,250.09998
2,2015,35430,188.2285844
3,2015,38290,195.6783074
4,2015,49510,222.5084268
5,2015,50660,225.0777643
6,2015,49470,222.4185244
7,2015,50420,224.5439823
8,2015,48840,220.9977375
9,2015,38580,196.4179218
10,2015,29680,172.2788437
11,2015,31270,176.8332548
12,2015,35550,188.5470763
1,2016,42890,207.0990101
2,2016,49520,222.5308967
3,2016,42250,205.5480479
4,2016,43070,207.5331299
5,2016,50860,225.5216176
6,2016,46960,216.7025611
7,2016,41160,202.8792744
8,2016,39330,198.3179266
9,2016,40750,201.8662924
10,2016,39150,197.8635894
11,2016,36820,191.8853825
12,2016,34650,186.1451047
1,2017,33740,183.6845121
2,2017,32360,179.8888546
3,2017,31500,177.4823935
4,2017,32070,179.0809873
5,2017,34620,186.0645049
6,2017,37810,194.4479365
7,2017,40940,202.3363536
8,2017,44060,209.9047403
9,2017,48250,219.6588264
10,2017,50680,225.122189
11,2017,44350,210.5943969
12,2017,37350,193.2614809
1,2018,29160,170.7629936
2,2018,27310,165.257375
3,2018,35320,187.9361594
4,2018,40430,201.0721264
5,2018,41600,203.9607805
6,2018,38620,196.5197191
7,2018,38390,195.9336622
8,2018,42230,205.4993917
9,2018,44200,210.2379604
10,2018,47410,217.7383751
11,2018,51840,227.6839915
12,2018,53220,230.6946033
1,2019,45410,213.0962224
2,2019,36150,190.1315334
3,2019,34470,185.6609814
4,2019,39010,197.5094934
5,2019,44450,210.8316864
6,2019,48220,219.590528
7,2019,53520,231.3438999
8,2019,55320,235.2020408
9,2019,52240,228.560714
10,2019,50490,224.6997997
11,2019,50610,224.9666642
12,2019,47390,217.6924436
1,2020,43340,208.1826121
2,2020,36590,191.2851275
3,2020,28820,169.7645428
4,2020,28930,170.0882124
5,2020,29310,171.2016355
6,2020,29060,170.4699387
7,2020,30350,174.2125139
8,2020,29580,171.9883717
9,2020,28870,169.9117418
10,2020,28850,169.8528775
11,2020,30810,175.5277756
12,2020,34900,186.8154169
1,2021,33460,182.9207479
2,2021,30770,175.4137965
3,2021,32130,179.248431
4,2021,38020,194.9871791
5,2021,44390,210.6893448
6,2021,43390,208.3026644
7,2021,40060,200.1499438
8,2021,38170,195.3714411
9,2021,37560,193.8040247
10,2021,35790,189.1824516
11,2021,33840,183.9565166
12,2021,29870,172.8293956
1,2022,27570,166.0421633
2,2022,27120,164.6815108
3,2022,27580,166.0722734
4,2022,31240,176.7484088
5,2022,32730,180.9143444
6,2022,35690,188.9179716
7,2022,35640,188.7855927
8,2022,37120,192.6655133
9,2022,39580,198.9472292
10,2022,43010,207.3885243
11,2022,32510,180.3052966
12,2022,35580,188.6266153
1,2023,19150,138.383525
2,2023,15740,125.4591567
3,2023,18070,134.4247001
4,2023,16320,127.7497554
5,2023,20790,144.1873781
6,2023,23260,152.5122946
7,2023,25190,158.7135785
8,2023,23860,154.4668249
9,2023,26340,162.2960258
10,2023,31250,176.7766953
11,2023,32510,180.3052966
12,2023,35580,188.6266153
1,2024,29110,170.6165291
2,2024,33590,183.2757485
3,2024,36400,190.7878403
